artist_id,name_primary,birth_name,stage_name,aliases,wikidata_qid,musicbrainz_mbid,isni,viaf_id,wikipedia_url,birth_year,birth_city,birth_county,birth_state,birth_state_abbr,birth_country,death_date,death_year,death_place_raw,citizenship,occupations,genres_raw,genres_normalized,country_relevance_score,instruments,member_of,record_labels,awards,official_website,birth_decade,us_macro_region,is_deceased,age_or_age_at_death,is_us_born,is_solo_person,is_country_core,is_country_broad,flag_restricted_sample,flag_expanded_sample,sample_membership,inclusion_reason,exclusion_reason,source_primary,source_secondary,source_seed,evidence_urls,source_count,birth_date_confidence,birth_place_confidence,genre_confidence,manual_review_needed,notes,name_key,in_songfile,in_country_restricted,in_country_master,in_adjacent_seed_pool,source_membership_count,artist_name_songfile_example,adjacent_genre_bucket,adjacent_source_group,core_union_flag,birth_admin_labels,wikipedia_categories,wp_birth_place_raw,wp_birth_year,wp_birth_date,birth_date,birth_place_raw,birth_country_raw
,"Eddy Arnold, The Tennessee Plowboy and His Guitar",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,eddy arnold the tennessee plowboy and his guitar,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Red Foley and the Cumberland Valley Boys,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,red foley and the cumberland valley boys,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Margaret Whiting, Jimmy Wakely",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,margaret whiting jimmy wakely,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Margaret Whiting and Jimmy Wakely,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,margaret whiting and jimmy wakely,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Red Foley, Ernest Tubb",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,red foley ernest tubb,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Wilma Lee Cooper and Stoney Cooper,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,wilma lee cooper and stoney cooper,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Adam Wakefield,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,adam wakefield,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,David Houston and Barbara Mandrell,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,david houston and barbara mandrell,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,"Kitty Wells, Red Foley",,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,kitty wells red foley,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
,Lewis Pruitt,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,Unknown,0,,0,1,0,1,0,1,expanded_only,Billboard country year-end supplement,,Billboard country year-end chart,,Billboard country year-end supplement,,1,low,low,medium,1,Added from Billboard country year-end chart; structured artist metadata unresolved in current run,lewis pruitt,0,0,0,0,0,,,billboard_country_year_end_supplement,0,,,,,,,,
